null,検査実施件数（日別）,新規（日別）,陰性確認（日別）,新規のうち陽性件数,検査実施件数(累計)　　,新規(累計),陰性確認(累計),新規のうち陽性件数(累計)
2020/2/14,2,2,0,0,2,2,0,0
2020/2/15,0,0,0,0,2,2,0,0
2020/2/16,0,0,0,0,2,2,0,0
2020/2/17,1,1,0,0,3,3,0,0
2020/2/18,0,0,0,0,3,3,0,0
2020/2/19,3,3,0,0,6,6,0,0
2020/2/20,3,3,0,0,9,9,0,0
2020/2/21,4,4,0,0,13,13,0,0
2020/2/22,4,4,0,0,17,17,0,0
2020/2/23,1,1,0,0,18,18,0,0
2020/2/24,0,0,0,0,18,18,0,0
2020/2/25,3,3,0,0,21,21,0,0
2020/2/26,1,1,0,0,22,22,0,0
2020/2/27,4,2,2,0,26,24,2,0
2020/2/28,5,5,0,0,31,29,2,0
2020/2/29,0,0,0,0,31,29,2,0
2020/3/1,1,1,0,0,32,30,2,0
2020/3/2,12,12,0,1,44,42,2,1
2020/3/3,11,11,0,1,55,53,2,2
2020/3/4,5,5,0,0,60,58,2,2
2020/3/5,10,10,0,0,70,68,2,2
2020/3/6,18,18,0,0,88,86,2,2
2020/3/7,1,1,0,0,89,87,2,2
2020/3/8,2,2,0,1,91,89,2,3
2020/3/9,28,27,1,2,119,116,3,5
2020/3/10,16,16,0,5,135,132,3,10
2020/3/11,16,14,2,1,151,146,5,11
2020/3/12,14,12,2,4,165,158,7,15
2020/3/13,24,22,2,2,189,180,9,17
2020/3/14,16,14,2,4,205,194,11,21
2020/3/15,2,2,0,0,207,196,11,21
2020/3/16,23,15,8,3,230,211,19,24
2020/3/17,21,15,6,0,251,226,25,24
2020/3/18,16,10,6,0,267,236,31,24
2020/3/19,19,11,8,0,286,247,39,24
2020/3/20,10,6,4,0,296,253,43,24
2020/3/21,4,3,1,0,300,256,44,24
2020/3/22,3,3,0,0,303,259,44,24
2020/3/23,24,14,10,0,327,273,54,24
2020/3/24,27,23,4,0,354,296,58,24
2020/3/25,22,12,10,0,376,308,68,24
2020/3/26,24,20,4,2,400,328,72,26
2020/3/27,19,15,4,3,419,343,76,29
